Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality
EH6 7QL,Yes,55.968462,-3.149804,328329,675647,NT283756,"Leith","",1980-01-01,,17,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QN,Yes,55.969932,-3.151564,328222,675813,NT282758,"Leith","",1980-01-01,,11,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QP,Yes,55.970855,-3.151477,328229,675915,NT282759,"Leith","",1980-01-01,,7,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QQ,Yes,55.968295,-3.148517,328409,675627,NT284756,"Leith","",1980-01-01,,16,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QR,Yes,55.971115,-3.156726,327902,675950,NT279759,"Leith","",1980-01-01,,7,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QS,Yes,55.968149,-3.149714,328334,675612,NT283756,"Leith","",1982-03-01,,19,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QW,Yes,55.970152,-3.151648,328217,675837,NT282758,"Leith","",1980-01-01,,10,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7QX,No,55.970169,-3.151761,328210,675839,NT282758,"Leith","",1994-10-01,1995-12-01,10,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7RA,No,55.967416,-3.138606,329026,675519,NT290755,"Craigentinny/Duddingston","",1978-11-01,1992-07-01,9,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7RB,No,55.969073,-3.144038,328690,675709,NT286757,"Craigentinny/Duddingston","",1978-06-01,1992-07-01,10,Scotland,2019-02-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference"
EH6 7RD,Yes,55.967416,-3.138606,329026,675519,NT290755,"Craigentinny/Duddingston","",1980-04-01,,9,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7RE,Yes,55.972824,-3.157418,327862,676141,NT278761,"Leith","",1996-06-01,,6,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7RF,Yes,55.970978,-3.144417,328670,675922,NT286759,"Leith","",1984-09-01,,7,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7RG,No,55.974781,-3.165919,327335,676368,NT273763,"Leith","",1981-03-01,2015-09-01,8,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
EH6 7RL,No,55.969555,-3.143411,328730,675762,NT287757,"Leith","",1984-09-01,1998-12-01,8,Scotland,2019-02-23,"Within the building of the matched address closest to the postcode mean"
